faculty_id,first,middle,last,suffix
82267b94e9384068f392001630a1c36a,Wafaie,W.,Fawzi,
d59d3c22a5cc0e9fdbc4f4cdfbabde65,Wai-Yee,,Li,
8ca9d8ec5fbe32ec76cd794d9b34196a,Walter,,Johnson,
9b648543da3c6d330e5c3ae091e14ac1,Warren,,Goldfarb,
4311f0c5b4137a0fda7589c584b8570f,Wayne,Isaac,Lencer,
34f5a7eb8343401f766701d3524940e3,Wei,,Liu,
fe0ff27c4a838cd533af06ccc31a52fd,Welcome,,Bender,
fb2aba51163ad2821724b07938b98ab4,Wendy,,Garrett,
e1b34722c96f16f9fe740a7355f989af,Wendy,A.,Lee,
05e8816384b2ed82b46953e0034791e7,Wenyi,,Wei,
06e438a1965a7d53f82aff62fcb17168,Werner,,Sollors,
4dc76df908fbaf5657883c375107881b,Wesley,Mark,Jacobsen,
5a94bb2215f0ae1900a2af1223c3b743,Wesley,Philip,Wong,
aad0ec5cb56cf1893c61c0327c85fc79,Wilfried,,Schmid,
d7c1b50d4eef55093e5a23f37b64cb3b,William,,Fash,
68d7237568b20e9b5c74b29dddfe7a43,William,,Friedman,
61c7d3775477209287577f8b2e12e8c5,William,,Gelbart,
688e1e72d94f6a37252b50ac4be6ac11,William,,Gillies,
f4229114bc2d1a87a15e4da68ff15c2b,William,,Granara,
9ffccc7f8e266b447d5a5497115ed3c5,William,,Milberg,
627be4bfab2f178260991f0ad67d88a4,William,,Shih,
6b789f45916a4fb6826575bf244e5205,William,,Weitzel,
489e57dd69cc37a87ce40d5ec5b834e4,William,A.,Carlezon,
e4290077ff347c8195d7fafadb3557d4,William,A.,Graham,
